level,location,resp_time,day_offset,week
4,"43.70568109676242,-72.29072663001716",2013-04-14 06:00:00,18,3
4,"43.70522507932037,-72.29081598110497",2013-04-13 01:00:00,16,3
4,"43.70568109676242,-72.29072663001716",2013-04-13 22:00:00,17,3
4,"43.70137925259769,-72.28947512805462",2013-04-14 20:00:00,18,3
1,"43.702968335710466,-72.29021784849465",2013-04-14 11:00:00,18,3
4,"43.70568109676242,-72.29072663001716",2013-04-14 03:00:00,18,3
1,"43.70289662852883,-72.28997561149299",2013-04-15 11:00:00,19,3
2,"43.70289662852883,-72.28997561149299",2013-04-15 18:00:00,19,3
1,"43.70403396897018,-72.28720941580832",2013-04-11 16:00:00,15,3
4,"43.703021770343184,-72.29105939157307",2013-04-13 03:00:00,17,3
4,Unknown,2013-04-12 03:00:00,16,3
4,"43.703035013750196,-72.28771191090345",2013-04-11 17:00:00,15,3
5,Unknown,2013-04-11 23:00:00,15,3
1,"43.70560025330633,-72.2910475730896",2013-04-12 15:00:00,16,3
4,Unknown,2013-04-16 00:00:00,19,3
5,Unknown,2013-04-14 22:00:00,18,3
4,"43.70299469679594,-72.29106274433434",2013-04-12 21:00:00,16,3
1,Unknown,2013-04-12 01:00:00,15,3
1,"43.702894197776914,-72.29080315679312",2013-04-10 20:00:00,14,3
1,"43.70531099382788,-72.29075856506824",2013-04-10 06:00:00,14,3
1,"43.70531099382788,-72.29075856506824",2013-04-10 05:00:00,14,3
1,"43.70531099382788,-72.29075856506824",2013-04-10 09:00:00,14,3
4,"43.702832465060055,-72.28970445692539",2013-04-11 06:00:00,15,3
1,"43.702832465060055,-72.28970445692539",2013-04-11 09:00:00,15,3
4,"43.70289050973952,-72.2909696213901",2013-04-16 04:00:00,20,3
4,"43.70289050973952,-72.2909696213901",2013-04-16 06:00:00,20,3
1,Unknown,2013-04-16 01:00:00,19,3
4,"43.70496301911771,-72.2903998196125",2013-04-17 00:00:00,20,3
1,"43.70289050973952,-72.2909696213901",2013-04-16 08:00:00,20,3
1,Unknown,2013-04-18 04:00:00,22,4
4,"43.703824086114764,-72.28708427399397",2013-04-18 17:00:00,22,4
4,"43.706606877967715,-72.28770210407674",2013-04-18 20:00:00,22,4
1,"43.70562854222953,-72.29079879820347",2013-04-17 08:00:00,21,4
1,"43.70562028605491,-72.29085822589695",2013-04-17 04:00:00,21,4
2,"43.70562854222953,-72.29079879820347",2013-04-17 11:00:00,21,4
1,Unknown,2013-04-18 08:00:00,22,4
1,"43.706606877967715,-72.28770210407674",2013-04-18 20:00:00,22,4
1,Unknown,2013-04-18 01:00:00,21,4
1,Unknown,2013-04-18 00:00:00,21,4
1,"43.706074208021164,-72.2909130435437",2013-04-17 15:00:00,21,4
1,Unknown,2013-04-18 09:00:00,22,4
1,"43.705556374043226,-72.2909109480679",2013-04-19 00:00:00,22,4
1,"43.70412390679121,-72.28750135749578",2013-04-19 15:00:00,23,4
4,Unknown,2013-04-19 03:00:00,23,4
5,"43.70582476258278,-72.29042178019881",2013-04-19 20:00:00,23,4
1,Unknown,2013-04-19 06:00:00,23,4
5,"43.70582476258278,-72.29042178019881",2013-04-19 23:00:00,23,4
4,"43.70582476258278,-72.29042178019881",2013-04-20 04:00:00,24,4
4,"43.70582476258278,-72.29042178019881",2013-04-20 05:00:00,24,4
1,"43.702826388180256,-72.29127505794168",2013-04-20 23:00:00,24,4
1,"43.702177251689136,-72.29007745161653",2013-04-22 00:00:00,25,4
1,"43.70409922208637,-72.28208472020924",2013-04-21 09:00:00,25,4
1,"43.70345394127071,-72.29087851010263",2013-04-22 04:00:00,26,4
1,"43.70345394127071,-72.29087851010263",2013-04-22 10:00:00,26,4
3,"43.70559400878847,-72.29087733663619",2013-04-23 16:00:00,27,4
1,Unknown,2013-04-23 04:00:00,27,4
1,Unknown,2013-04-23 02:00:00,26,4
4,Unknown,2013-04-24 02:00:00,27,4
4,"43.7066536070779,-72.28823712095618",2013-04-25 20:00:00,29,5
3,"43.70579710230231,-72.29083056561649",2013-04-30 19:00:00,34,5
4,"43.705770364031196,-72.29050819762051",2013-04-25 01:00:00,28,5
4,Unknown,2013-04-24 20:00:00,28,5
4,"43.705345443449914,-72.29143733158708",2013-04-26 04:00:00,30,5
4,"43.704535835422575,-72.29042085818946",2013-04-25 23:00:00,29,5
1,"43.703413414768875,-72.28902460075915",2013-04-24 23:00:00,28,5
1,"43.702806774526834,-72.29073786176741",2013-04-24 04:00:00,28,5
1,"43.702806774526834,-72.29073786176741",2013-04-24 06:00:00,28,5
1,"43.70548307429999,-72.2909040749073",2013-04-25 03:00:00,29,5
4,"43.70586654637009,-72.29082025587559",2013-04-25 18:00:00,29,5
1,"43.70562979951501,-72.28742231614888",2013-04-26 18:00:00,30,5
4,"43.705437812022865,-72.29115846566856",2013-04-26 08:00:00,30,5
1,Unknown,2013-04-28 02:00:00,31,5
3,Unknown,2013-04-30 10:00:00,34,5
1,"43.704183753579855,-72.28855940513313",2013-04-29 19:00:00,33,5
1,"43.704183753579855,-72.28855940513313",2013-04-29 16:00:00,33,5
4,"43.70428538415581,-72.28916759602726",2013-04-29 15:00:00,33,5
2,Unknown,2013-04-29 00:00:00,32,5
4,"43.704183753579855,-72.28855940513313",2013-04-29 20:00:00,33,5
1,"43.70636967010796,-72.28717530146241",2013-04-29 10:00:00,33,5
1,"43.705516937188804,-72.29096400551498",2013-04-28 21:00:00,32,5
4,Unknown,2013-04-27 21:00:00,31,5
1,Unknown,2013-04-29 04:00:00,33,5
1,"43.706689733080566,-72.28658253327012",2013-04-29 08:00:00,33,5
4,Unknown,2013-04-28 01:00:00,31,5
4,Unknown,2013-04-28 05:00:00,32,5
1,"43.70562979951501,-72.28742231614888",2013-04-26 19:00:00,30,5
1,"43.70548462495208,-72.29094330221415",2013-04-26 21:00:00,30,5
1,"43.702828316017985,-72.29103868827224",2013-05-07 04:00:00,41,6
4,"43.70551781728864,-72.29054197669029",2013-05-05 20:00:00,39,6
5,Unknown,2013-05-04 10:00:00,38,6
1,"43.702828316017985,-72.29103868827224",2013-05-07 07:00:00,41,6
1,Unknown,2013-05-03 23:00:00,37,6
1,"43.70556081645191,-72.2910356707871",2013-05-06 04:00:00,40,6
4,"43.702881247736514,-72.29107422754169",2013-05-07 02:00:00,40,6
4,"43.70560289360583,-72.29077340103686",2013-05-02 02:00:00,35,6
1,"43.705406757071614,-72.28963203728199",2013-05-06 19:00:00,40,6
4,"43.70568541344255,-72.29091857559979",2013-05-03 05:00:00,37,6
4,"43.70563415810466,-72.2912774886936",2013-05-02 16:00:00,36,6
1,"43.702828316017985,-72.29103868827224",2013-05-07 08:00:00,41,6
4,"43.705581771209836,-72.29074255563319",2013-05-06 10:00:00,40,6
1,"43.705429220572114,-72.29127271100879",2013-05-07 16:00:00,41,6
4,"43.70178573299199,-72.28840081952512",2013-05-05 06:00:00,39,6
1,"43.70389746967703,-72.28679367341101",2013-05-06 16:00:00,40,6
1,"43.70313869789243,-72.2904294077307",2013-05-01 05:00:00,35,6
1,"43.70489332359284,-72.28969481773674",2013-05-02 07:00:00,36,6
2,"33.64048871677369,-84.43573283962905",2013-05-11 17:00:00,45,7
1,"43.70564182754606,-72.29092067107558",2013-05-10 15:00:00,44,7
1,"43.70312268845737,-72.29016378521919",2013-05-08 04:00:00,42,7
3,Unknown,2013-05-11 00:00:00,44,7
1,Unknown,2013-05-08 03:00:00,42,7
3,"29.90291280671954,-90.0272652413696",2013-05-12 12:00:00,46,7
2,"43.706466439180076,-72.28715711273253",2013-05-08 12:00:00,42,7
4,"43.70719000697136,-72.29053074494004",2013-05-09 04:00:00,43,7
4,"43.70559212286025,-72.29091203771532",2013-05-20 19:00:00,54,8
4,"43.70559212286025,-72.29091203771532",2013-05-20 20:00:00,54,8
1,Unknown,2013-05-16 02:00:00,49,8
2,"43.70743128005415,-72.28925778530538",2013-05-15 08:00:00,49,8
1,"43.70553600601852,-72.29107699356973",2013-05-16 15:00:00,50,8
2,Unknown,2013-05-15 06:00:00,49,8
1,"43.705461281351745,-72.2910166438669",2013-05-21 09:00:00,55,8
5,"43.705348586663604,-72.28977226652205",2013-05-22 00:00:00,55,8
4,"43.70559212286025,-72.29091203771532",2013-05-20 22:00:00,54,8
4,"43.704725224524736,-72.28949784301221",2013-05-20 00:00:00,53,8
1,"43.70531283784658,-72.28896860964596",2013-05-18 00:00:00,51,8
1,"43.70431249961257,-72.28903147391975",2013-05-16 19:00:00,50,8
4,"43.70494906324893,-72.29194141924381",2013-05-18 21:00:00,52,8
4,"43.705568527802825,-72.29081480763853",2013-05-19 19:00:00,53,8
4,Unknown,2013-05-21 18:00:00,55,8
4,"43.70550733990967,-72.2909749019891",2013-05-27 19:00:00,61,9
2,"43.70560381561518,-72.29110607877374",2013-05-28 20:00:00,62,9
4,"43.705720701254904,-72.29104246012866",2013-05-22 18:00:00,56,9
1,"43.70286435820162,-72.28974292986095",2013-05-22 05:00:00,56,9
4,Unknown,2013-05-23 18:00:00,57,9
1,Unknown,2013-05-24 04:00:00,58,9
1,Unknown,2013-05-24 17:00:00,58,9
4,"43.705819859169424,-72.29087230749428",2013-05-26 19:00:00,60,9
1,Unknown,2013-05-25 00:00:00,58,9
2,Unknown,2013-05-29 02:00:00,62,9
2,Unknown,2013-05-28 09:00:00,62,9
4,Unknown,2013-05-26 05:00:00,60,9
2,"43.705510566942394,-72.29118637740612",2013-05-27 08:00:00,61,9
2,Unknown,2013-05-30 00:00:00,63,10
2,Unknown,2013-05-29 20:00:00,63,10
5,"41.09053309075534,-73.45103331841528",2013-06-01 04:00:00,66,10
1,"40.69961621426046,-73.81507202982903",2013-06-01 13:00:00,66,10
4,"29.902872280217707,-90.02744721248746",2013-06-04 23:00:00,69,10
4,"29.902878901921213,-90.02735710702837",2013-06-02 21:00:00,67,10
4,"29.902807823382318,-90.02733036875725",2013-06-04 01:00:00,68,10
4,"29.900103276595473,-90.0295245833695",2013-06-02 06:00:00,67,10
4,"29.90290006622672,-90.02740010619164",2013-06-04 08:00:00,69,10
4,"29.902838333509862,-90.02745215781033",2013-06-03 00:00:00,67,10
4,"29.9028183426708,-90.02741821110249",2013-06-05 01:00:00,69,10
4,"29.902975209988654,-90.02755098044872",2013-06-03 07:00:00,68,10
4,"29.902932504191995,-90.02747026272118",2013-06-03 03:00:00,68,10
5,Unknown,2013-05-31 00:00:00,64,10
4,"43.70569061022252,-72.2908440604806",2013-05-31 18:00:00,65,10
5,"43.70243239682168,-72.28868303820491",2013-05-31 20:00:00,65,10
5,"43.705530599690974,-72.29089292697608",2013-05-30 20:00:00,64,10
4,Unknown,2013-05-31 09:00:00,65,10
2,Unknown,2013-05-29 04:00:00,63,10
4,"29.899868331849575,-90.02978006377816",2013-06-07 23:00:00,72,11
5,"29.903018628247082,-90.02739306539297",2013-06-05 05:00:00,70,11
4,"29.902795627713203,-90.02727152779698",2013-06-06 00:00:00,70,11
4,"29.90286414977163,-90.02727756276727",2013-06-06 10:00:00,71,11
4,"29.902958278544247,-90.02731117419899",2013-06-05 07:00:00,70,11
