level,location,resp_time,null,day_offset,week
2.0,"43.70370463,-72.29071195",2013-04-19 16:00:00,,26,4
3.0,"43.70308688,-72.28865677",2013-04-19 19:00:00,,26,4
2.0,"43.70097511,-72.28885351",2013-04-20 06:00:00,,26,4
3.0,"43.70379379,-72.29137476",2013-04-21 20:00:00,,28,5
3.0,"43.70388114,-72.29106228",2013-04-22 02:00:00,,28,5
3.0,"43.70388114,-72.29106228",2013-04-22 02:00:00,,28,5
3.0,"43.70379379,-72.29137476",2013-04-21 20:00:00,,28,5
1.0,"43.70378422,-72.29157491",2013-04-23 16:00:00,,30,5
3.0,"43.70381392,-72.29084126",2013-04-26 06:00:00,,32,5
3.0,"43.70381392,-72.29084126",2013-04-26 18:00:00,,33,5
3.0,"43.7070591,-72.28708027",2013-04-30 04:00:00,,36,6
3.0,"43.70380827,-72.290783",2013-04-28 18:00:00,,35,6
3.0,"43.70378913,-72.29087644",2013-04-29 00:00:00,,35,6
3.0,"43.70380827,-72.290783",2013-04-28 20:00:00,,35,6
3.0,"43.70373463,-72.29053354",2013-04-29 04:00:00,,35,6
3.0,"43.70435459,-72.29034651",2013-04-29 20:00:00,,36,6
4.0,"43.70376088,-72.29035391",2013-04-30 17:00:00,,37,6
3.0,"43.70688467,-72.28732802",2013-04-30 00:00:00,,36,6
1.0,"43.70545477,-72.28953205",2013-05-02 05:00:00,,38,6
1.0,"43.70545477,-72.28953205",2013-05-02 01:00:00,,38,6
1.0,Unknown,2013-05-02 17:00:00,,39,6
3.0,"43.70360319,-72.29109274",2013-05-03 06:00:00,,39,6
2.0,"43.70397531,-72.28989529",2013-05-05 00:00:00,,41,6
1.0,"43.70355342,-72.29047722",2013-05-04 18:00:00,,41,6
3.0,"43.70369577,-72.29064258",2013-05-06 17:00:00,,43,7
2.0,"43.70397531,-72.28989529",2013-05-05 17:00:00,,42,7
3.0,"43.70369577,-72.29064258",2013-05-06 05:00:00,,42,7
3.0,"43.70369577,-72.29064258",2013-05-06 05:00:00,,42,7
3.0,"43.70363675,-72.29111179",2013-05-09 01:00:00,,45,7
4.0,"43.70317722,-72.28939878",2013-05-11 05:00:00,,47,7
2.0,"43.7038144,-72.29043427",2013-05-07 18:00:00,,44,7
2.0,"43.70534496,-72.29049134",2013-05-07 16:00:00,,44,7
2.0,"43.70363675,-72.29111179",2013-05-09 05:00:00,,45,7
1.0,"43.70317722,-72.28939878",2013-05-11 19:00:00,,48,7
1.0,"43.70317722,-72.28939878",2013-05-11 16:00:00,,48,7
1.0,"43.70722102,-72.29064325",2013-05-08 04:00:00,,44,7
3.0,"43.70345091,-72.29056717",2013-05-10 17:00:00,,47,7
1.0,"43.70444528,-72.29050901",2013-05-08 18:00:00,,45,7
3.0,"43.70695455,-72.28826139",2013-05-07 04:00:00,,43,7
1.0,Unknown,2013-05-12 19:00:00,,49,8
2.0,"43.70391463,-72.28988644",2013-05-15 02:00:00,,51,8
2.0,"43.70374249,-72.29050587",2013-05-16 03:00:00,,52,8
4.0,"43.70374249,-72.29050587",2013-05-15 20:00:00,,52,8
2.0,"43.70391463,-72.28988644",2013-05-15 00:00:00,,51,8
2.0,"43.70391463,-72.28988644",2013-05-14 02:00:00,,50,8
2.0,"43.70391463,-72.28988644",2013-05-14 19:00:00,,51,8
4.0,Unknown,2013-05-17 19:00:00,,54,8
1.0,"43.70695744,-72.28713032",2013-05-18 02:00:00,,54,8
1.0,"43.70633473,-72.28883226",2013-05-19 05:00:00,,55,8
1.0,Unknown,2013-05-18 19:00:00,,55,8
4.0,"43.70633473,-72.28883226",2013-05-19 20:00:00,,56,9
2.0,Unknown,2013-05-21 02:00:00,,57,9
3.0,Unknown,2013-05-20 03:00:00,,56,9
1.0,Unknown,2013-05-20 04:00:00,,56,9
4.0,Unknown,2013-05-20 03:00:00,,56,9
1.0,Unknown,2013-05-20 19:00:00,,57,9
3.0,Unknown,2013-05-21 04:00:00,,57,9
1.0,"43.70708133,-72.28751809",2013-05-22 05:00:00,,58,9
3.0,"43.70688262,-72.28760657",2013-05-23 04:00:00,,59,9
1.0,"43.70290001,-72.28954014",2013-05-22 19:00:00,,59,9
2.0,"43.70390811,-72.29065789",2013-05-24 04:00:00,,60,9
2.0,"43.70675104,-72.28740962",2013-05-23 22:00:00,,60,9
1.0,"43.70372826,-72.29097234",2013-05-24 20:00:00,,61,9
3.0,"43.68753666,-72.29250241",2013-05-28 05:00:00,,64,10
3.0,"43.68753666,-72.29250241",2013-05-28 08:00:00,,64,10
