time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate,times,date,location,extracted_location,road_name,building_name,city_name,full_address_extracted
1364408498,network,wifi,37.304,43.70618,-72.28326,0.0,0.0,0.0,stationary,2013-03-27 18:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364409698,network,wifi,34.098,43.70618,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 18:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364410898,network,wifi,30.912,43.70617,-72.2833,0.0,0.0,0.0,stationary,2013-03-27 19:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364412098,network,wifi,37.637,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 19:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364413298,network,wifi,30.148,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 19:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364414498,network,wifi,34.766,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 20:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364418098,network,wifi,51.961,43.70618,-72.2833,0.0,0.0,0.0,stationary,2013-03-27 21:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364419298,network,wifi,38.154,43.70616,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 21:21:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364420498,network,wifi,53.903,43.70616,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 21:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364421698,network,wifi,37.906,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 22:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364422898,network,wifi,34.536,43.70619,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 22:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364424038,network,wifi,33.995,43.7062,-72.2833,0.0,0.0,0.0,stationary,2013-03-27 22:40:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364425298,network,wifi,20.0,43.70666,-72.28719,0.0,0.0,0.0,moving,2013-03-27 23:01:38,2013-03-27,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364426498,network,wifi,20.623,43.70663,-72.28712,0.0,0.0,0.0,stationary,2013-03-27 23:21:38,2013-03-27,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364427698,network,wifi,20.0,43.70663,-72.28709,0.0,0.0,0.0,stationary,2013-03-27 23:41:38,2013-03-27,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364428898,network,wifi,20.0,43.70662,-72.28709,0.0,0.0,0.0,stationary,2013-03-28 00:01:38,2013-03-28,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364430098,network,wifi,20.675,43.70663,-72.28712,0.0,0.0,0.0,stationary,2013-03-28 00:21:38,2013-03-28,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364431298,network,wifi,43.5,43.70779,-72.28494,0.0,0.0,0.0,moving,2013-03-28 00:41:38,2013-03-28,"Anonymous Hall, 64 College Street, Hanover, NH 03755, United States of America",,,,,
1364432498,network,wifi,36.026,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 01:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364433698,network,wifi,32.901,43.70619,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 01:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364434898,network,wifi,38.824,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 01:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364436098,network,wifi,34.607,43.70613,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 02:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364437298,network,wifi,36.528,43.70617,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 02:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364438498,network,wifi,37.986,43.70617,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 02:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364439698,network,wifi,33.715,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 03:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364440898,network,wifi,42.113,43.70618,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 03:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364442098,network,wifi,36.041,43.70618,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 03:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364443298,network,wifi,37.579,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 04:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364444498,network,wifi,35.16,43.70616,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 04:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364445698,network,wifi,34.674,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 04:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364446898,network,wifi,34.598,43.70612,-72.28324,0.0,0.0,0.0,stationary,2013-03-28 05:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364448098,network,wifi,37.667,43.70616,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 05:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364449298,network,wifi,32.104,43.70616,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 05:41:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364450498,network,wifi,37.568,43.70616,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 06:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364451698,network,wifi,32.133,43.70615,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 06:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364452898,network,wifi,38.176,43.70616,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 06:41:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364454098,network,wifi,38.94,43.70615,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 07:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364455298,network,wifi,37.806,43.70617,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 07:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364456498,network,wifi,37.578,43.70616,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 07:41:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364457698,network,wifi,34.487,43.70613,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 08:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364458898,network,wifi,35.977,43.70618,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 08:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364460098,network,wifi,36.101,43.70617,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 08:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364461298,network,wifi,37.641,43.70615,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 09:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364462498,network,wifi,35.774,43.70616,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 09:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364463698,network,wifi,32.284,43.70616,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 09:41:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364464898,network,wifi,36.89,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 10:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364466098,network,wifi,32.828,43.70614,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 10:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364467298,network,wifi,37.476,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 10:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364468498,network,wifi,36.294,43.70617,-72.28325,0.0,0.0,0.0,stationary,2013-03-28 11:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364469698,network,wifi,38.662,43.70615,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 11:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364470898,network,wifi,37.305,43.70615,-72.28323,0.0,0.0,0.0,stationary,2013-03-28 11:41:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364472001,network,wifi,35.566,43.70616,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 12:00:01,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364473298,network,wifi,33.466,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 12:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364474498,network,wifi,35.098,43.70619,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 12:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364475698,network,wifi,35.135,43.70618,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 13:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364476835,network,wifi,30.945,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 13:20:35,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364478098,network,wifi,36.643,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 13:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364479298,network,wifi,34.35,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 14:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364480498,network,wifi,35.954,43.70619,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 14:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364481698,network,wifi,35.783,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 14:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364482898,network,wifi,35.779,43.70616,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 15:01:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364484098,network,wifi,38.945,43.70615,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 15:21:38,2013-03-28,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364485298,network,wifi,36.707,43.70617,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 15:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364486498,network,wifi,30.0,43.70874,-72.28384,0.0,0.0,0.0,moving,2013-03-28 16:01:38,2013-03-28,"Class of 1978 Life Sciences Center, 78 College Street, Hanover, NH 03755, United States of America",,,,,
1364487698,network,wifi,68.817,43.70877,-72.28396,0.0,0.0,0.0,stationary,2013-03-28 16:21:38,2013-03-28,"Class of 1978 Life Sciences Center, 78 College Street, Hanover, NH 03755, United States of America",,,,,
1364488836,network,wifi,29.682,43.70867,-72.28364,0.0,0.0,0.0,stationary,2013-03-28 16:40:36,2013-03-28,"Class of 1978 Life Sciences Center, 78 College Street, Hanover, NH 03755, United States of America",,,,,
1364490098,network,wifi,61.732,43.70653,-72.28345,0.0,0.0,0.0,moving,2013-03-28 17:01:38,2013-03-28,"20 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364491298,network,wifi,32.268,43.7062,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 17:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364492498,network,wifi,38.398,43.70619,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 17:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364493698,network,wifi,37.294,43.70617,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 18:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364494898,network,wifi,35.282,43.70618,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 18:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364496098,network,wifi,36.772,43.70619,-72.28325,0.0,0.0,0.0,stationary,2013-03-28 18:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364497298,network,wifi,35.333,43.70619,-72.28328,0.0,0.0,0.0,stationary,2013-03-28 19:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364498498,network,wifi,36.056,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 19:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364499698,network,wifi,51.33,43.70619,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 19:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364500898,network,wifi,50.33,43.7062,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 20:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364502098,network,wifi,35.35,43.70618,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 20:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364503298,network,wifi,51.386,43.70619,-72.2833,0.0,0.0,0.0,stationary,2013-03-28 20:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364504498,network,wifi,37.053,43.70617,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 21:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364505698,network,wifi,37.58,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-28 21:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364506898,network,wifi,37.23,43.70618,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 21:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364508098,network,wifi,37.159,43.70617,-72.28326,0.0,0.0,0.0,stationary,2013-03-28 22:01:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364509298,network,wifi,36.459,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 22:21:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364510498,network,wifi,34.199,43.7062,-72.28329,0.0,0.0,0.0,stationary,2013-03-28 22:41:38,2013-03-28,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364512898,network,wifi,20.0,43.70662,-72.2871,0.0,0.0,0.0,stationary,2013-03-28 23:21:38,2013-03-28,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364514098,network,wifi,22.0,43.70662,-72.28709,0.0,0.0,0.0,stationary,2013-03-28 23:41:38,2013-03-28,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364515298,network,wifi,20.0,43.70663,-72.28711,0.0,0.0,0.0,stationary,2013-03-29 00:01:38,2013-03-29,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364516498,network,wifi,20.0,43.70663,-72.28711,0.0,0.0,0.0,stationary,2013-03-29 00:21:38,2013-03-29,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364517698,network,wifi,20.0,43.70663,-72.28711,0.0,0.0,0.0,stationary,2013-03-29 00:41:38,2013-03-29,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364518898,network,wifi,20.745,43.70664,-72.28706,0.0,0.0,0.0,stationary,2013-03-29 01:01:38,2013-03-29,"Sudikoff Hall, 9 Maynard Street, Hanover, NH 03755, United States of America",,,,,
1364520098,network,wifi,40.098,43.70614,-72.28325,0.0,0.0,0.0,moving,2013-03-29 01:21:38,2013-03-29,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364521298,network,wifi,37.776,43.70618,-72.28327,0.0,0.0,0.0,moving,2013-03-29 01:41:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364522387,network,wifi,38.155,43.70619,-72.28327,0.0,0.0,0.0,stationary,2013-03-29 01:59:47,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364523698,network,wifi,35.974,43.70617,-72.2833,0.0,0.0,0.0,stationary,2013-03-29 02:21:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364524898,network,wifi,39.087,43.70619,-72.28329,0.0,0.0,0.0,stationary,2013-03-29 02:41:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364526098,network,wifi,38.499,43.70619,-72.28328,0.0,0.0,0.0,stationary,2013-03-29 03:01:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364527298,network,wifi,37.126,43.70617,-72.28326,0.0,0.0,0.0,stationary,2013-03-29 03:21:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364528498,network,wifi,36.618,43.70617,-72.2833,0.0,0.0,0.0,stationary,2013-03-29 03:41:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364529698,network,wifi,35.708,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-29 04:01:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364530898,network,wifi,37.408,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-29 04:21:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364532098,network,wifi,37.509,43.70617,-72.28324,0.0,0.0,0.0,stationary,2013-03-29 04:41:38,2013-03-29,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364533298,network,wifi,38.426,43.70619,-72.28328,0.0,0.0,0.0,stationary,2013-03-29 05:01:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364534498,network,wifi,34.335,43.7062,-72.28329,0.0,0.0,0.0,stationary,2013-03-29 05:21:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364535698,network,wifi,38.764,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-29 05:41:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364536898,network,wifi,38.241,43.70618,-72.28328,0.0,0.0,0.0,stationary,2013-03-29 06:01:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364538098,network,wifi,36.905,43.70616,-72.28322,0.0,0.0,0.0,stationary,2013-03-29 06:21:38,2013-03-29,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364539298,network,wifi,37.091,43.70618,-72.28325,0.0,0.0,0.0,stationary,2013-03-29 06:41:38,2013-03-29,"North Park Street, Hanover, NH 03755, United States of America",,,,,
